Name,Kingdom,Locations,Update Dates
Black capped chickadee,animalia,"46.180885, -74.558022",2023:12:27 01:04:01
Canada goose,animalia,"43.634443, -79.970757",2020:05:21 12:34:23
Cardinal,animalia,"43.853475, -78.964234",2023:06:10 06:23:33
Common snapping turtle,animalia,"44.417633, -81.462914",2022:05:22 16:01:19
Common watersnake,animalia,"44.539357, -76.515374",2023:05:21 03:43:52
Double-crested cormorant,animalia,"43.870587, -78.785675 ",2023:08:31 07:33:01
Eastern cottontail rabbit,animalia,"43.892826, -81.302946",2022:08:22 09:35:04
Eastern garter snake,animalia,"44.676955, -81.258746,43.758956, -81.704497,45.916867, -80.552444","2022:09:17 04:15:21,2022:11:05 13:29:14,2023:08:25 12:43:01"
Elk,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Hoary marmot,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Isabella tiger moth,animalia,"44.630253, -78.876511,43.990003, -77.733125","2023:09:17 16:28:44,2023:10:29 16:40:08"
Leopard frog,animalia,"42.579341, -80.384408",2023:08:14 12:42:18
Mallard duck,animalia,"43.853599, -78.963375",2023:06:10 06:33:49
Milkweed tiger moth,animalia,"44.298561, -77.789947,44.622119, -78.870300","2023:09:09 16:15:26,2023:09:17 15:50:06"
Monarch butterfly,animalia,"43.823458, -80.007111,42.579341, -80.384408","2022:07:31 15:58:29,2022:08:14 03:20:36"
Mountain goat,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Mule deer,animalia,"51.177246, -115.558615",2022:12:05 04:18:42
Mute swan,animalia,"43.870587, -78.785675",2023:06:28 07:52:54
Painted turtle,animalia,"46.048341, -81.314957",2022:07:02 12:12:03
Pika,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
Toad,animalia,"43.892852, -81.302733,43.834033, -81.455811,44.570895, -79.329804","2021:07:13 21:56:45,2022:09:05 11:04:44,2023:11:05 02:05:16"
Trumpeter swan,animalia,"43.794194, -79.117644",2023:12:31 12:57:37
White-tailed deer,animalia,"43.853227, -78.964062,46.181800, -74.567628,46.135169, -74.591156","2023:06:10 07:01:13,2023:12:27 15:58:55,2023:12:28 09:38:23"
Wild Turkey,animalia,"42.949067, -81.399994,44.616995, -78.854883","2022:12:30 15:46:56,2023:09:17 03:06:56"
Bear's head tooth,fungi,"44.483775, -80.316247",2022:10:02 16:50:19
Black morel,fungi,"44.506144, -76.553056",2023:05:21 14:05:51
Chicken of the woods,fungi,"44.918756, -78.062094",2023:06:03 16:30:36
Dryad's saddle,fungi,"44.528217, -76.041856",2023:05:22 15:04:01
Giant Puffball,fungi,"43.827275, -81.459581",2022:08:27 11:41:52
White Morel,fungi,"44.524386, -76.031264",2023:05:22 13:09:37
American Hog Peanut,plantae,"44.506222, -76.550308,43.811969, -79.152894,44.294136, -77.798042","2023:05:21 12:39:24,2023:06:27 20:45:07,2023:09:09 17:00:27"
American black currant,plantae,"43.799500, -79.109183",2023:05:19 12:29:40
American gooseberry,plantae,"44.501614, -76.548958,43.870278, -79.127319,44.630489, -78.874864","2023:05:21 14:54:35,2023:07:01 20:22:38,2023:09:17 16:33:21"
Appalachian barren strawberry,plantae,"44.501736, -76.550903",2023:05:21 14:35:36
Asparagus,plantae,"42.579341, -80.384408,43.850361, -79.089461","2022:08:14 14:53:32,2023:06:26 20:25:25"
Autumn olive,plantae,"43.884044, -81.494622",2022:09:08 10:58:13
Black raspberry,plantae,"44.407098, -80.154099,43.890226, -81.316896,43.874806, -78.797492,43.869628, -79.131067","2022:07:16 11:11:59,2022:07:17 11:27:43,2023:06:28 19:54:29,2023:07:01 19:54:09"
Black walnut,plantae,"43.888256, -81.320136,43.809406, -79.163619","2022:08:28 18:42:13,2023:06:27 19:55:17"
Blackberry,plantae,"44.046003, -80.075032,43.815431, -80.012735,42.703739, -80.333697,43.886019, -81.493378,44.238339, -81.220558,44.921347, -78.070297,46.581233, -82.708900,46.715619, -79.822564,45.924994, -80.555917","2022:06:05 14:56:25,2022:07:31 16:31:51,2022:08:14 18:11:40,2022:09:08 12:33:22,2023:03:11 16:40:21,2023:06:03 14:57:52,2023:08:22 13:25:43,2023:08:24 15:58:53,2023:08:25 11:42:25"
Blueberry,plantae,"46.046673, -81.325099,44.501636, -76.542472,44.510986, -76.038353,44.918400, -78.066131,46.017086, -80.588653,45.928832, -80.554505","2022:07:03 12:15:38,2023:05:21 15:31:48,2023:05:22 11:58:13,2023:06:03 15:09:17,2023:08:21 15:57:31,2023:08:25 11:52:01"
Bunchberry,plantae,"44.914567, -78.057792,46.016919, -80.587953,46.727568, -79.808213,46.182956, -74.560769","2023:06:03 15:50:03,2023:08:21 15:54:33,2023:08:24 16:37:01,2023:12:27 14:42:10"
Canada Mayflower,plantae,"44.046822, -80.075311,43.833828, -81.456956,44.500042, -76.547600,44.921469, -78.070069,46.725533, -79.812522,45.915725, -80.551225","2022:06:05 13:50:58,2022:09:05 10:51:33,2023:05:21 15:05:18,2023:06:03 14:44:30,2023:08:24 15:00:23,2023:08:25 13:03:30"
Chokecherry,plantae,"43.892331, -81.318225,43.798058, -79.110764,44.505753, -76.549300,43.874461, -78.795547","2022:07:17 11:39:13,2023:05:19 11:35:41,2023:05:21 16:13:55,2023:06:28 19:57:54"
Common Horse-chestnut,plantae,"43.895203, -81.305772",2022:08:31 10:07:50
Elderberry,plantae,"43.890007, -81.317647,43.742538, -80.961771,43.825731, -81.457414,43.874139, -78.785064","2022:07:17 17:44:21,2022:08:23 12:39:11,2022:08:27 10:57:19,2023:06:28 19:23:30"
False Solomon's Seal,plantae,"44.415641, -81.462933,44.047901, -80.077414,46.047984, -81.328180,43.637945, -81.477537,43.885928, -81.492867","2022:05:22 14:04:11,2022:06:05 14:00:35,2022:07:02 15:06:34,2022:08:09 16:55:43,2022:09:08 12:41:42"
Grape,plantae,"43.886647, -81.313478,43.636453, -81.477506,43.691581, -81.586450,44.304611, -81.596481,43.827550, -78.994592,43.851908, -78.965936,43.850319, -79.089386,43.809403, -79.163497","2022:07:13 20:15:16,2022:08:09 16:40:18,2022:08:27 14:19:04,2022:09:11 13:39:31,2023:05:30 18:59:26,2023:06:10 18:17:17,2023:06:26 20:45:49,2023:06:27 19:54:14"
Hairy Solomon's-seal,plantae,"44.436356, -79.761811,44.500617, -76.549019,44.511928, -76.039878","2022:09:05 17:27:45,2023:05:21 14:59:24,2023:05:22 12:30:25"
Indian Cucumber,plantae,"43.833794, -81.456939,44.672747, -81.250831,44.505822, -76.042917","2022:09:05 10:51:59,2022:09:17 16:03:21,2023:05:22 11:36:52"
Juneberry,plantae,"45.996249, -81.415578,43.809494, -79.164139","2022:07:03 13:40:12,2023:06:27 19:37:18"
Kinnikinnick,plantae,"44.297311, -81.603792",2022:09:11 13:05:44
Lemon balm,plantae,"43.753948, -81.699138",2022:11:05 13:29:57
