Name,Kingdom,Locations,Update Dates
Adonis blue,animalia,"43.897575, -79.061096,43.897484, -79.061081","2024:05:01 13:44:23,2024:05:01 13:44:37"
Baltimore oriole,animalia,"43.870587, -78.785675",2023:05:13 02:35:36
Beaver,animalia,"44.121161, -78.945397",2024:02:25 13:59:41
Black capped chickadee,animalia,"43.724778, -81.695944,43.718850, -81.696808,43.870587, -78.785675,43.870587, -78.785675,45.915372, -80.553239,44.570895, -79.329804,46.180885, -74.558022","2022:11:13 14:10:34,2022:11:13 14:38:28,2023:05:13 02:15:31,2023:06:28 07:59:38,2023:08:25 13:16:13,2023:11:05 02:14:37,2023:12:27 01:04:01"
Blue jay,animalia,"43.634443, -79.970757,44.302025, -81.598275,43.870587, -78.785675,46.180885, -74.558022,44.002458, -78.776329","2022:05:21 02:15:03,2022:09:11 13:29:03,2023:05:13 16:41:18,2023:12:27 19:52:01,2024:05:04 03:42:40"
Bufflehead duck,animalia,"43.794669, -79.117722",2023:12:31 13:10:26
Canada goose,animalia,"43.634443, -79.970757",2020:05:21 12:34:23
Cardinal,animalia,"43.856937, -78.962718,43.853475, -78.964234,43.853646, -78.964706,43.410413, -79.757051","2023:06:10 06:21:21,2023:06:10 06:23:33,2023:06:10 06:24:10,2024:03:31 00:48:16"
Common snapping turtle,animalia,"44.417633, -81.462914",2022:05:22 16:01:19
Common watersnake,animalia,"44.539357, -76.515374,44.539357, -76.515374","2023:05:21 03:43:52,2023:05:21 15:39:10"
Double-crested cormorant,animalia,"43.870587, -78.785675 ",2023:08:31 07:33:01
Downy woodpecker,animalia,"43.870587, -78.785675,44.570895, -79.329804,43.410413, -79.757051,43.410413, -79.757051","2023:06:30 18:25:54,2023:11:05 01:07:26,2024:03:31 01:23:05,2024:03:31 18:02:37"
Eastern carpenter bee,animalia,"44.625554, -78.865418",2023:09:17 04:51:34
Eastern chipmunk,animalia,"43.870587, -78.785676,44.295536, -77.792987,44.625554, -78.865418","2023:05:13 02:26:10,2023:09:09 22:27:04,2023:09:17 04:54:08"
Eastern cottontail rabbit,animalia,"43.892946, -81.303290,43.870587, -78.785675","2022:08:22 09:35:04,2023:06:28 08:10:26"
Eastern garter snake,animalia,"44.676955, -81.258746,43.758956, -81.704497,43.758956, -81.704497,44.529603, -76.028381,45.916867, -80.552444,43.969353, -78.629852,43.969353, -78.629852","2022:09:17 04:15:21,2022:11:05 13:28:35,2022:11:05 13:29:14,2023:05:22 13:37:14,2023:08:25 12:43:01,2024:05:07 11:14:22,2024:05:07 11:14:24"
Elk,animalia,"52.853811, -118.070118",2021:09:08 09:39:24
